epoch,lr,train_loss,val_loss,train_acc,val_acc,train_time_taken,val_time_taken,val_conf_mat
118,9.045084971874908e-06,0.1761,0.1054,93.41,95.6,31.8,1.75,"[2889, 11, 44, 14, 2845, 103, 211, 89, 4732]"
119,9.755282581475964e-06,0.1724,0.1073,93.74,95.95,31.59,1.65,"[2890, 12, 42, 10, 2895, 57, 226, 87, 4719]"
120,1.0000000000000206e-05,0.1703,0.1012,93.53,96.33,30.37,1.73,"[2888, 12, 44, 12, 2836, 114, 136, 74, 4822]"
121,9.755282581475969e-06,0.1728,0.1033,93.62,96.6,31.23,1.75,"[2888, 12, 44, 12, 2880, 70, 134, 90, 4808]"
122,9.045084971874916e-06,0.1696,0.1011,93.73,96.49,31.4,1.72,"[2890, 11, 43, 12, 2856, 94, 133, 81, 4818]"
123,7.938926261462542e-06,0.1683,0.105,93.78,96.23,31.56,1.68,"[2891, 11, 42, 12, 2891, 59, 185, 94, 4753]"
124,6.545084971874878e-06,0.1726,0.1,93.67,96.37,31.84,1.77,"[2889, 11, 44, 12, 2843, 107, 132, 81, 4819]"
125,5.000000000000137e-06,0.1687,0.102,93.74,96.38,31.91,1.75,"[2891, 11, 42, 12, 2856, 94, 143, 84, 4805]"
126,3.454915028125324e-06,0.1662,0.1065,93.83,95.98,31.8,1.81,"[2892, 11, 41, 12, 2869, 81, 186, 100, 4746]"
127,2.06107373853769e-06,0.1682,0.1033,93.76,96.31,31.65,1.75,"[2891, 11, 42, 12, 2856, 94, 155, 80, 4797]"
128,9.549150281252874e-07,0.1671,0.1022,93.83,96.27,31.48,1.71,"[2890, 11, 43, 12, 2856, 94, 153, 85, 4794]"
129,2.4471741852423683e-07,0.1657,0.1025,93.95,96.3,31.19,1.8,"[2890, 11, 43, 14, 2854, 94, 156, 77, 4799]"
130,0.0,0.1646,0.1035,93.81,95.84,31.57,1.79,"[2892, 11, 41, 12, 2878, 72, 218, 92, 4722]"
131,2.447174185242324e-07,0.1695,0.0988,93.78,96.43,31.41,1.81,"[2888, 11, 45, 12, 2854, 96, 142, 75, 4815]"
132,9.549150281252368e-07,0.168,0.1041,93.79,96.25,31.39,1.82,"[2893, 11, 40, 12, 2856, 94, 153, 91, 4788]"
133,2.061073738537589e-06,0.1717,0.1033,93.64,96.47,32.05,1.76,"[2891, 11, 42, 12, 2880, 70, 142, 100, 4790]"
134,3.454915028125161e-06,0.172,0.1006,93.6,96.53,30.9,1.71,"[2892, 11, 41, 12, 2869, 81, 141, 84, 4807]"
135,4.999999999999871e-06,0.1669,0.1005,93.86,96.66,31.86,1.73,"[2888, 12, 44, 10, 2882, 70, 130, 90, 4812]"
